id;full_name;relationship;phone;alt_phone;email;address;notes;status;address_two;city;state;zip;chart_id;type_patient_contact_types_id;created_by;created_date;last_modified_by;last_modified_date;del_status
1;Billy Harper;Brother/Sister;1-(909)150-0519;1-(860)526-1736;jwilliams0@angelfire.com;06 Ruskin Way;diam erat fermentum justo nec condimentum neque;ACT;Sunfield;San Bernardino;California;92415;166;4;system;2016-09-27 22:11:32;Jacqueline Williams;2016-08-16 02:21:22;false
2;Rose Cox;Child;1-(859)917-1504;1-(502)248-4644;pbarnes1@narod.ru;51 Saint Paul Road;ac neque duis bibendum morbi non quam nec dui;ACT;Grasskamp;Lexington;Kentucky;40524;268;4;system;2016-09-23 01:36:05;Patrick Barnes;2016-08-08 07:03:54;false
3;Jimmy Hicks;Friend;1-(630)713-2184;1-(830)595-0757;achavez2@spiegel.de;48 Doe Crossing Avenue;in hac habitasse platea dictumst etiam faucibus cursus urna ut;ACT;Sherman;Naperville;Illinois;60567;156;4;system;2016-07-29 14:53:23;Ashley Chavez;2016-05-26 11:09:15;false
4;Joshua Stanley;Grandparent;1-(850)602-8648;1-(704)917-7396;jmartinez3@blinklist.com;4809 Harper Court;tincidunt nulla mollis molestie lorem;ACT;Morning;Pensacola;Florida;32590;252;3;system;2016-04-05 16:55:22;Julie Martinez;2016-06-29 15:01:27;false
5;Judith Fuller;Guardian;1-(828)865-5422;1-(714)299-1181;dandrews4@51.la;89 Everett Alley;eleifend luctus ultricies eu nibh quisque id justo sit amet;ACT;Algoma;Asheville;North Carolina;28815;17;1;system;2016-11-04 01:43:05;Diana Andrews;2016-02-14 15:48:09;false
6;Richard Brown;Other;1-(801)243-8090;1-(415)560-4033;fanderson5@dell.com;49 Graceland Junction;ligula in lacus curabitur at ipsum ac;ACT;Oakridge;Ogden;Utah;84409;257;3;system;2016-05-29 20:35:01;Frank Anderson;2016-11-25 13:51:53;false
7;Laura King;Parent;1-(602)790-3922;1-(504)259-7191;nfisher6@japanpost.jp;7173 Namekagon Crossing;rutrum nulla nunc purus phasellus in felis donec semper;ACT;Karstens;Phoenix;Arizona;85062;7;3;system;2016-05-06 21:53:17;Nancy Fisher;2016-05-11 04:22:44;false
8;Robert Ryan;Probation Officer;1-(501)775-8037;1-(229)974-0805;kmartinez7@nifty.com;4599 Ramsey Plaza;integer ac neque duis bibendum;ACT;Karstens;Little Rock;Arkansas;72209;271;3;system;2016-03-19 23:48:24;Keith Martinez;2016-03-23 20:20:00;false
9;William Hayes;Sponsor;1-(915)930-0918;1-(612)590-1988;tpeterson8@wp.com;84787 Dennis Terrace;at vulputate vitae nisl aenean lectus pellentesque eget nunc;ACT;Sunbrook;El Paso;Texas;79916;171;4;system;2016-11-25 07:29:42;Tina Peterson;2016-12-10 17:34:32;false
10;Kevin Kelly;Spouse/Partner;1-(843)166-3624;1-(202)723-4649;lgarcia9@phoca.cz;7 Rowland Park;nullam orci pede venenatis non sodales sed tincidunt eu;ACT;Sunfield;Charleston;South Carolina;29424;102;3;system;2016-09-06 22:52:56;Lori Garcia;2016-03-11 21:51:18;false
11;Joan Willis;Brother/Sister;1-(713)732-7413;1-(214)492-5380;sgarzaa@ft.com;10 Vidon Way;ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit;ACT;International;Houston;Texas;77234;153;2;system;2016-12-24 16:20:11;Shawn Garza;2016-07-05 17:16:55;false
12;Beverly Hunter;Child;1-(202)348-9469;1-(501)600-2580;hbutlerb@livejournal.com;852 Express Avenue;euismod scelerisque quam turpis adipiscing;ACT;Helena;Washington;District of Columbia;20220;247;4;system;2016-11-09 14:40:40;Henry Butler;2016-12-10 08:43:19;false
13;Ronald Lawrence;Friend;1-(504)379-8002;1-(719)306-3143;twagnerc@uiuc.edu;04 Anzinger Way;hac habitasse platea dictumst;ACT;Rigney;New Orleans;Louisiana;70160;198;3;system;2016-07-25 04:41:41;Thomas Wagner;2016-07-03 16:55:26;false
14;Keith Warren;Grandparent;1-(419)363-5122;1-(317)630-7367;wperezd@nih.gov;260 Ridgeview Park;consequat dui nec nisi volutpat eleifend donec ut dolor morbi;ACT;Gerald;Toledo;Ohio;43699;135;2;system;2016-12-04 17:47:19;Willie Perez;2016-02-29 19:18:00;false
15;Dennis Alexander;Guardian;1-(205)607-8624;1-(410)962-7841;lcruze@fema.gov;96 Susan Lane;penatibus et magnis dis;ACT;Mallory;Birmingham;Alabama;35242;85;4;system;2016-11-19 15:33:23;Lori Cruz;2016-08-01 11:05:42;false
16;Kathleen Wagner;Other;1-(314)691-8629;1-(404)406-6702;mmyersf@bizjournals.com;8460 Dayton Point;sed interdum venenatis turpis enim blandit mi in porttitor pede;ACT;Ridgeview;Saint Louis;Missouri;63110;93;3;system;2016-02-24 21:29:51;Melissa Myers;2016-04-16 03:48:49;false
