id;social;sex;date_birth;preferred_name;status;first_name;middle_name;last_name;identification;created_by;created_date;last_modified_by;last_modified_date;del_status
1;138-99-5929;M;2016-09-14 23:45:18;shenderson0;ACT;Harold;Steve;Henderson;197-47-4919;system;2016-05-24 02:49:59;Steve Henderson;2016-11-14 11:49:33;false
2;286-84-1918;M;2016-03-31 10:58:55;pcarroll1;ACT;Lawrence;Patrick;Carroll;143-05-6104;system;2016-09-14 07:48:44;Patrick Carroll;2016-11-01 20:20:50;false
3;904-58-1602;F;2016-07-31 13:10:26;dcoleman2;ACT;Mildred;Doris;Coleman;642-18-1443;system;2016-07-24 11:07:54;Doris Coleman;2016-04-17 15:03:02;false
4;364-70-2479;M;2016-04-26 11:11:24;dmartin3;ACT;Scott;David;Martin;456-77-7184;system;2016-06-04 08:56:57;David Martin;2016-01-08 04:53:29;false
5;911-81-9245;M;2016-10-16 18:56:10;cdunn4;ACT;Kenneth;Carl;Dunn;764-21-8277;system;2016-11-20 13:13:37;Carl Dunn;2016-12-11 03:57:35;false
6;156-57-1173;F;2016-06-30 10:15:33;mhill5;ACT;Katherine;Margaret;Hill;746-04-6032;system;2016-11-22 05:30:27;Margaret Hill;2016-07-19 06:17:57;false
7;947-60-1109;F;2016-08-12 06:43:14;bcastillo6;ACT;Betty;Brenda;Castillo;380-65-2845;system;2016-12-27 10:39:55;Brenda Castillo;2016-07-05 02:54:29;false
8;350-61-9503;F;2016-11-09 20:35:13;swilliams7;ACT;Brenda;Sandra;Williams;837-07-3167;system;2016-02-21 15:51:53;Sandra Williams;2016-01-06 05:40:23;false
9;634-31-5375;F;2016-04-05 22:32:35;mgarrett8;ACT;Shirley;Marie;Garrett;675-33-9047;system;2016-07-22 13:48:11;Marie Garrett;2016-01-22 12:03:38;false
10;635-99-1078;M;2016-08-21 15:06:16;scunningham9;ACT;Martin;Stephen;Cunningham;405-59-5879;system;2016-01-25 14:41:34;Stephen Cunningham;2016-07-04 06:14:35;false
11;408-49-4875;F;2016-05-20 00:45:21;rstanleya;ACT;Margaret;Rose;Stanley;724-81-3807;system;2016-04-02 16:28:35;Rose Stanley;2016-08-21 03:17:35;false
12;615-09-3440;M;2016-03-02 01:00:00;sruizb;ACT;Peter;Samuel;Ruiz;160-18-4816;system;2016-01-24 20:46:54;Samuel Ruiz;2016-02-03 07:48:25;false
13;682-20-3353;F;2016-11-11 14:12:58;jcruzc;ACT;Kelly;Judy;Cruz;771-90-8643;system;2016-04-20 10:58:20;Judy Cruz;2016-02-17 07:06:40;false
14;898-63-2659;M;2016-06-16 04:50:29;djacobsd;ACT;Stephen;Douglas;Jacobs;481-40-7737;system;2016-04-08 18:48:10;Douglas Jacobs;2016-08-12 02:13:53;false
15;300-38-3589;F;2016-01-01 20:10:43;dmorgane;ACT;Diana;Donna;Morgan;680-31-7899;system;2016-05-02 16:52:25;Donna Morgan;2016-12-22 13:49:45;false
16;743-70-8106;M;2016-01-26 00:17:02;dleef;ACT;Howard;Daniel;Lee;326-80-8539;system;2016-12-23 03:17:42;Daniel Lee;2016-09-25 11:29:16;false
17;366-01-3719;F;2016-02-04 20:58:32;mharveyg;ACT;Christina;Michelle;Harvey;561-90-1018;system;2016-03-31 06:35:44;Michelle Harvey;2016-04-07 22:14:01;false
18;490-89-8410;M;2016-03-16 02:20:12;kjohnsonh;ACT;Adam;Kevin;Johnson;159-94-4504;system;2016-01-05 07:24:43;Kevin Johnson;2016-01-21 11:57:59;false
19;653-73-1082;M;2016-01-18 19:15:29;mfulleri;ACT;Thomas;Michael;Fuller;653-02-5236;system;2016-03-21 17:23:13;Michael Fuller;2016-02-02 20:44:01;false
20;513-47-3010;F;2016-07-04 11:32:45;dpetersj;ACT;Kimberly;Denise;Peters;805-83-0279;system;2016-01-23 13:33:10;Denise Peters;2016-11-27 10:31:23;false
21;159-99-3065;M;2016-11-20 14:31:30;dwoodsk;ACT;William;Douglas;Woods;531-67-1877;system;2016-07-27 20:49:34;Douglas Woods;2016-04-09 11:18:33;false
22;300-76-5010;M;2016-08-27 14:44:10;arileyl;ACT;Joe;Adam;Riley;289-48-5248;system;2016-09-14 21:21:04;Adam Riley;2016-08-13 19:52:05;false
23;610-08-6272;F;2016-04-25 06:49:56;jwagnerm;ACT;Tammy;Judith;Wagner;998-23-4017;system;2016-04-22 22:20:42;Judith Wagner;2016-04-12 20:54:44;false
24;267-68-2699;F;2016-07-21 03:33:56;hrossn;ACT;Teresa;Helen;Ross;378-59-9301;system;2016-11-01 13:06:12;Helen Ross;2016-12-09 13:43:04;false
25;232-58-4173;M;2016-11-03 00:41:02;ajameso;ACT;Phillip;Adam;James;938-02-6530;system;2016-01-18 04:52:12;Adam James;2016-04-06 23:06:54;false
26;435-07-6592;M;2016-12-07 09:47:14;jarnoldp;ACT;Jeffrey;Johnny;Arnold;711-23-2784;system;2016-04-16 20:38:15;Johnny Arnold;2016-09-22 04:41:18;false
27;471-47-4032;F;2016-01-14 04:20:52;rhartq;ACT;Janet;Ruth;Hart;114-94-1849;system;2016-03-27 16:43:23;Ruth Hart;2016-01-24 23:48:29;false
28;773-10-1777;M;2016-07-30 22:23:01;rroser;ACT;Raymond;Richard;Rose;589-47-8211;system;2016-05-27 20:28:38;Richard Rose;2016-12-12 00:00:34;false
29;957-51-4614;M;2016-02-16 01:48:47;aowenss;ACT;Kevin;Antonio;Owens;723-64-7214;system;2016-02-09 14:08:54;Antonio Owens;2016-05-06 05:04:27;false
30;682-15-4187;M;2016-03-29 11:54:57;pdunnt;ACT;Steve;Phillip;Dunn;332-11-9730;system;2016-11-04 18:24:59;Phillip Dunn;2016-05-30 06:27:33;false
